20230217	12:46:14	477963d0-8bcb-4b60-8fd7-3957ee6657ca	GET 	undefined 	/css/style.css
20230217	12:46:17	0bd2fa46-3c1f-4d37-a387-fdef58399f1f	GET 	undefined 	/
20230217	12:46:17	ce4bad9b-7d89-44c3-99f0-72c6152e9597	GET 	undefined 	/css/style.css
20230217	12:46:21	4421a6a5-61ab-4db0-b9d3-40410b0d38cf	GET 	undefined 	/
20230217	12:46:21	b3c8c139-db20-4dae-b011-b390888f7a6a	GET 	undefined 	/css/style.css
20230217	12:47:19	3ce665a2-3ed4-4262-a282-ed5b87db9aae	GET 	undefined 	/
20230217	12:47:19	e54db561-ca9e-490a-bc44-d622920b5039	GET 	undefined 	/css/style.css
20230217	12:47:20	0c89a82a-6e7f-4ba5-b494-8f5868cb30c0	GET 	undefined 	/
20230217	12:47:20	84420a29-832a-4a6a-80de-9e7763ae21d3	GET 	undefined 	/css/style.css
20230217	12:47:20	0e2b24bc-3447-4cb7-9e78-d72db90defd8	GET 	undefined 	/
20230217	12:47:20	3e57784d-4860-42f2-ae49-5963d60b8139	GET 	undefined 	/css/style.css
20230217	12:47:22	110f2959-134d-4a66-a699-8de7f356be79	GET 	undefined 	/
20230217	12:48:01	96de43a1-50f4-4a16-9f85-dea573efae18	GET 	undefined 	/hello
20230217	12:53:43	456c21e0-fa39-45ea-94cd-cfeadb7d15f1	GET 	undefined 	/
20230217	12:53:47	88e06468-9850-480c-83d3-3eecc1b9ba52	GET 	undefined 	/new-page
20230217	12:53:49	71a99667-8667-4ac2-9eb6-38f998f5e9e0	GET 	undefined 	/new-page
20230217	12:53:55	b78d6811-ea34-4a8a-81b6-3318429259a5	GET 	undefined 	/new-page
20230217	12:53:55	dea887ec-c5af-4444-b30e-abebbd47baf6	GET 	undefined 	/css/style.css
20230217	12:53:55	4019849f-2808-479d-9477-e9db6b0ee3d2	GET 	undefined 	/img/img1.jpg
20230217	12:53:58	f79fda54-0c72-4ba3-a916-e5dc7a4bece8	GET 	undefined 	/
20230217	12:54:22	4a7ed68e-40f9-4f14-ba28-d3595b410863	GET 	undefined 	/
20230217	12:54:22	e37999ea-bb17-4cd6-804b-99011fc2753d	GET 	undefined 	/css/style.css
20230217	12:54:22	da49d4bd-a32f-48b4-a588-f33578d8eda3	GET 	undefined 	/
20230217	12:54:22	9bae3c4d-000b-4d07-8b95-5e912bd6b346	GET 	undefined 	/css/style.css
20230217	12:54:22	a2442342-a666-48ad-bc33-5c57b8c0faa4	GET 	undefined 	/
20230217	12:54:22	a870a1f1-7580-4e2f-985e-6cb8fa158c66	GET 	undefined 	/css/style.css
20230217	12:57:51	1a793abe-e5c6-4d93-8447-093e06923c2f	GET 	undefined 	/
20230217	12:57:51	3a619e4b-7703-4583-bb81-b433f980cff5	GET 	undefined 	/css/style.css
20230217	12:57:52	7043e4e0-b1e0-4fd1-8e92-5fdd705e6eb9	GET 	undefined 	/
20230217	12:57:52	746e09b2-af8c-4ec8-821a-dba05c8f7f8c	GET 	undefined 	/css/style.css
20230217	12:57:52	4d8af477-b59d-4291-8e47-e7a7fb6ed3a7	GET 	undefined 	/
20230217	12:57:52	c42655f7-f833-4998-884c-75ab55fe0e3d	GET 	undefined 	/css/style.css
20230217	13:00:25	0306e00d-5da4-4b96-98d3-501ffd806db1	GET 	undefined 	/
20230217	13:00:25	8c78cc07-7542-4c10-abe7-2d8142d4c6f6	GET 	undefined 	/css/style.css
20230217	13:01:00	01dd0c68-323f-4955-9277-611cf8fe4153	GET 	undefined 	/subdir
20230217	13:01:00	4f2604e3-b254-443c-90d8-eaa66838ce64	GET 	undefined 	/subdir/
20230217	13:01:12	97b5399b-a07d-4ad2-9ccb-08f7bc63e1df	GET 	undefined 	/subdir/index
20230217	13:01:15	aa3d1f1c-f8e1-4ebd-96e9-f3f848389bd4	GET 	undefined 	/subdir/teste
20230217	13:01:29	10aed8fc-058b-468c-be8b-b26834afb96b	GET 	undefined 	/
20230217	13:01:29	6c9c5233-e51c-40b2-b043-8af2f14c2f12	GET 	undefined 	/css/style.css
20230217	13:01:35	b0a116a0-1d38-4703-8d72-fc7daf5669d1	GET 	undefined 	/
20230217	13:17:46	5e2977fd-ab19-4026-b086-792d748bc968	GET 	undefined 	/
20230217	13:17:46	7e8dce23-e1c8-47cc-832a-6833bbcfaba2	GET 	undefined 	/css/style.css
20230217	13:17:46	492422c7-93ae-41d5-a471-033a53964ed1	GET 	undefined 	/
20230217	13:17:46	ea758e8e-6457-49ad-bbaa-72fe8e02f3d8	GET 	undefined 	/css/style.css
20230217	13:19:05	3ec3b2e8-10ce-446c-aeea-2713c8207334	GET 	undefined 	/new-page
20230217	13:19:05	ee9ebe15-9253-485d-9c0c-c117908085aa	GET 	undefined 	/css/style.css
20230217	13:19:05	17abaec0-0749-4697-8f19-c9698fcc4f8f	GET 	undefined 	/img/img1.jpg
20230217	13:23:51	ecc384dc-12a8-4ebf-88a7-2ad21801b40e	GET 	undefined 	/subdir/
20230217	13:23:56	cf97c5ce-bf97-40f5-8fad-fdb58ff5d3f9	GET 	undefined 	/subdir/teste
20230217	13:24:06	d942877e-3097-4cb8-9759-3d7b43b77dea	GET 	undefined 	/new-page
20230217	13:24:06	1767dac4-d201-4500-9810-69af26f3c3a4	GET 	undefined 	/css/style.css
20230217	13:24:06	f730a0ee-2ee5-4358-a671-4e41f6c53da0	GET 	undefined 	/img/img1.jpg
20230217	14:29:12	16349103-a5aa-4c27-a957-a358f9522cc1	GET 	undefined 	/css/style.css
20230217	14:29:12	e2775203-626a-42e9-8423-4826a6b97919	GET 	undefined 	/img/img1.jpg
20230217	14:29:16	e0689869-2b54-42c9-bfad-a68a347c8b33	GET 	undefined 	/new
20230217	14:29:16	b877c3ea-3e45-4ce9-9bdc-d24809815738	GET 	undefined 	/css/style.css
20230217	14:29:19	2eec03ec-e805-4510-a63e-1e84f38e8410	GET 	undefined 	/
20230217	14:29:19	67ae3d3d-0418-4f63-9348-19b433a9f1fe	GET 	undefined 	/css/style.css
20230217	15:09:09	5ea91447-5f90-411c-a7a3-34faf53a0bce	POST 	undefined 	/employees
20230217	15:09:40	4b24f977-081d-4e2b-a5d3-9ccd9ec3033d	GET 	undefined 	/employees
20230217	15:11:06	efef4343-366b-4839-a2f6-a12d4974d373	GET 	undefined 	/employees
20230217	15:12:21	c3a6cd80-9141-471f-9bec-56ae9bd9dab6	GET 	undefined 	/employees
20230217	15:13:11	edce9401-54b0-4f16-9214-22e1367121c2	POST 	undefined 	/employees
20230217	15:13:21	6279aa48-bbf7-4df5-88a9-2e7ea2dbfa7e	GET 	undefined 	/employees
20230217	15:14:11	3e8d6d37-e979-4e5d-afdb-a9d1af9b30f8	GET 	undefined 	/employees
20230217	15:14:17	83e852ba-7cc7-4861-abca-e3cbeb75a905	GET 	undefined 	/employees
20230217	15:14:21	93e7f922-5a8c-4d86-96fb-0d0ba1b38a5c	POST 	undefined 	/employees
20230217	15:14:23	c25dd264-174f-4880-aae8-7bde5de169ac	POST 	undefined 	/employees
20230217	15:14:37	f82f3d35-89ee-4988-9c16-c357ceefda6c	DELETE 	undefined 	/employees
20230217	15:14:38	8568d8c2-1c80-4588-96ae-4a1e1f65abfd	DELETE 	undefined 	/employees
20230217	15:15:05	13f54fb5-ebac-4487-aaa2-b34166b44b8a	GET 	undefined 	/employees/1
20230217	16:26:23	7225f1bf-e935-41de-a10d-ed1ed4905e06	GET 	undefined 	/
20230217	16:26:28	83523420-efc9-41de-9a11-83968536eb14	GET 	undefined 	/employees/1
20230217	16:27:25	b40e6149-d119-4ace-a1e7-aec2d35a2f1d	GET 	undefined 	/
20230217	16:27:25	64f8ddc5-790e-4bb2-a4fc-8a0636ff900f	GET 	undefined 	/css/style.css
